Order ID,Order Date,Ship Date,Category,Sub-Category,Sales,Quantity,Profit,Region
CA-2024-10287,2023-07-26,2023-08-02,Furniture,Furnishings,466.7,3,0.0,West
CA-2024-10323,2024-05-29,2024-05-31,Furniture,Chairs,1533.18,6,179.43,Central
CA-2024-10145,2023-07-29,2023-08-01,Technology,Phones,1451.94,3,78.94,East
CA-2024-10055,2024-12-21,2024-12-25,Technology,Accessories,532.45,2,65.43,West
CA-2024-10093,2023-09-23,2023-09-29,Furniture,Bookcases,1427.02,5,211.07,West
CA-2023-10340,2024-12-29,2025-01-01,Technology,Phones,2089.79,4,327.54,South
CA-2023-10026,2024-01-17,2024-01-21,Office Supplies,Art,96.57,2,13.68,West
CA-2023-10148,2023-10-18,2023-10-25,Furniture,Tables,2451.24,7,159.75,East
CA-2023-10292,2024-01-16,2024-01-23,Office Supplies,Art,28.61,1,23.09,South
CA-2023-10208,2023-07-04,2023-07-05,Technology,Machines,2312.43,4,216.07,East
CA-2024-10033,2023-02-12,2023-02-15,Furniture,Chairs,485.51,2,62.58,East
CA-2023-10090,2024-06-04,2024-06-06,Technology,Machines,1126.46,2,132.44,West
CA-2024-10305,2023-12-06,2023-12-07,Office Supplies,Storage,191.51,2,23.87,Central
CA-2024-10253,2024-03-24,2024-03-31,Office Supplies,Appliances,79.82,1,10.61,East
CA-2024-10113,2024-06-22,2024-06-26,Office Supplies,Paper,67.53,2,15.55,Central
CA-2023-10338,2023-07-23,2023-07-24,Office Supplies,Art,55.82,2,-0.58,East
CA-2023-10108,2024-07-24,2024-07-27,Technology,Phones,1564.98,3,188.09,West
CA-2024-10015,2024-12-30,2025-01-03,Office Supplies,Appliances,109.52,1,38.32,East
CA-2024-10141,2023-08-02,2023-08-05,Technology,Accessories,923.06,4,48.52,West
CA-2024-10173,2023-06-25,2023-06-29,Furniture,Furnishings,929.88,6,158.18,East
CA-2023-10000,2024-06-11,2024-06-16,Office Supplies,Paper,35.11,1,14.05,Central
CA-2023-10192,2024-07-16,2024-07-21,Office Supplies,Storage,44.39,1,9.16,Central
CA-2024-10025,2023-10-03,2023-10-08,Furniture,Furnishings,1107.41,7,150.28,West
CA-2023-10312,2023-06-04,2023-06-07,Furniture,Furnishings,760.49,5,89.86,Central
CA-2024-10009,2024-06-08,2024-06-10,Office Supplies,Storage,270.56,4,66.8,Central
CA-2024-10229,2024-10-06,2024-10-09,Furniture,Chairs,1115.88,4,148.83,East
CA-2023-10140,2023-12-24,2023-12-27,Office Supplies,Art,164.65,3,52.25,West
CA-2023-10042,2024-12-16,2024-12-19,Furniture,Bookcases,354.4,1,33.13,East
CA-2023-10078,2024-03-29,2024-04-01,Technology,Machines,492.05,1,14.34,West
CA-2024-10039,2023-02-26,2023-03-02,Office Supplies,Storage,89.03,1,26.76,East
CA-2023-10046,2023-02-19,2023-02-23,Technology,Accessories,1208.84,6,144.25,West
CA-2023-10124,2024-02-14,2024-02-21,Technology,Copiers,1650.94,3,200.71,South
